from,to,travel_time
ALM,ASD,14.95785664722907
ALM,HVS,10.915610688766822
ALM,SHL,19.805132571695435
APN,GD,8.47299138599363
APN,LEDN,7.899919714687829
APN,WD,10.175796486246487
AMF,HVS,8.934574446703618
AMF,UT,11.515095209608125
ASD,HLM,10.30049123666366
ASD,HVS,15.476280759030008
ASD,SHL,6.957513592955553
ASD,UT,21.49288399194323
ASD,WD,21.113423568053403
ASD,ZD,5.824212666206714
DT,GVC,5.3718517157465255
DT,LEDN,13.498745765399812
DT,RTD,8.17492957169909
GVC,LEDN,8.534659814380962
GVC,ZTM,6.4347624596615685
DDR,RTD,11.190900084662525
GD,RTD,11.53785305444161
GD,WD,8.8859136900071
GD,ZTM,9.098730930599876
HLM,LEDN,15.735346064472392
HLM,SHL,13.932576281354407
HLM,ZD,11.107635934878976
HVS,SHL,20.323556683496374
HVS,UT,9.373323492028971
LEDN,SHL,14.799553673117718
RTD,SHL,27.0
SHL,UT,24.37160726017482
SHL,WD,23.99214683628499
SHL,ZD,9.456297710897463
UT,WD,8.741092362767045
